x,y,z,SaliencyScore,NormalizedScore,Labels,EEGScore,NormalizedEEG,NormalizedCombinedScore
-0.0813,-0.0469,0.115,0.0,0.0,[],0.0,0.0,0.0
0.1164,-0.1965,0.4653,0.0,0.0,[],0.0,0.0,0.0
-0.0747,0.015,0.2984,0.0,0.0,[],0.0,0.0,0.0
-0.3883,0.1911,0.0557,0.0,0.0,[],0.0,0.0,0.0
-0.1586,-0.1987,0.6831,0.0,0.0,[],0.0,0.0,0.0
-0.049,0.015,0.4273,0.0,0.0,[],0.0,0.0,0.0
0.0139,-0.005,0.4772,0.0,0.0,[],0.0,0.0,0.0
0.388,-0.005,0.2403,0.0,0.0,[],0.0,0.0,0.0
0.3197,-0.005,0.3631,0.0,0.0,[],0.0,0.0,0.0
0.0205,0.1646,0.542,0.0,0.0,[],0.0,0.0,0.0
0.164,-0.205,0.206,0.0,0.0,[],0.0,0.0,0.0
0.2519,-0.1475,-0.3678,0.0,0.0,[],0.0,0.0,0.0
-0.3503,-0.005,0.1876,0.0,0.0,[],0.0,0.0,0.0
-0.271,0.195,0.4784,0.0,0.0,[],0.0,0.0,0.0
0.3871,-0.1319,0.4106,0.0,0.0,[],0.0,0.0,0.0
0.0065,-0.005,0.3546,0.0,0.0,[],0.0,0.0,0.0
-0.4711,-0.0966,0.6831,0.0,0.0,[],0.0,0.0,0.0
0.0458,-0.005,0.3848,0.0,0.0,[],0.0,0.0,0.0
0.5361,0.195,0.1596,0.26829268292682923,0.009498820950546348,['Rejection'],-1.0,-0.009615384615384616,-9.133481683217643e-05
-0.383,-0.205,0.6286,0.0,0.0,[],0.0,0.0,0.0
0.3643,-0.205,0.1157,0.0,0.0,[],0.0,0.0,0.0
-0.2128,0.015,0.478,0.0,0.0,[],0.0,0.0,0.0
-0.2706,0.005,0.3456,0.0,0.0,[],0.0,0.0,0.0
0.004,-0.205,0.6716,0.0,0.0,[],0.0,0.0,0.0
0.3301,0.195,0.2942,0.0,0.0,[],0.0,0.0,0.0
-0.0915,-0.0277,0.6831,0.0,0.0,[],0.0,0.0,0.0
0.4909,-0.205,0.4671,0.0,0.0,[],0.0,0.0,0.0
-0.0006,-0.005,0.4201,0.0,0.0,[],0.0,0.0,0.0
0.4265,0.005,0.2916,0.0,0.0,[],0.0,0.0,0.0
0.2235,-0.005,0.6046,0.0,0.0,[],0.0,0.0,0.0
0.5472,-0.0767,0.3218,0.0,0.0,[],0.0,0.0,0.0
-0.0493,0.005,0.4732,0.0,0.0,[],0.0,0.0,0.0
0.1625,0.005,0.2767,0.0,0.0,[],0.0,0.0,0.0
0.0205,0.195,0.1013,0.0,0.0,[],0.0,0.0,0.0
0.2056,0.0035,0.2792,0.0,0.0,[],0.0,0.0,0.0
-0.1549,0.015,-0.0067,0.0,0.0,[],0.0,0.0,0.0
-0.1434,0.005,0.3122,0.0,0.0,[],0.0,0.0,0.0
0.0681,-0.005,-0.3643,0.797842401500938,0.028247367896642197,"['Rejection', 'Rejection', 'Rejection']",-3.0,-0.028846153846153848,-0.0008148279200954481
-0.0269,0.195,0.3012,0.0,0.0,[],0.0,0.0,0.0
-0.1914,-0.005,0.2962,0.0,0.0,[],0.0,0.0,0.0
-0.1957,-0.205,-0.0163,0.0,0.0,[],0.0,0.0,0.0
0.5881,-0.1166,0.2213,1.6336772983114445,0.05783984855026736,"['Rejection', 'Rejection', 'Rejection', 'Rejection', 'Rejection']",-5.0,-0.04807692307692308,-0.002780761949532085
