Epoch,Form_Type,Form_Number,Class,True_Count,Predicted_Count,F1_Score,Accuracy
1,curved,10,Class 3,8,1932,0.002,25.0%
1,curved,10,Class 4,2,2990,0.000,0.0%
1,rect,3,Class 0,3450,3076,0.247,23.4%
1,rect,3,Class 1,180,4454,0.031,39.4%
1,rect,3,Class 2,11321,2775,0.317,19.8%
1,rect,3,Class 3,40,2041,0.004,10.0%
1,rect,3,Class 4,9,2654,0.000,0.0%
1,rect,12,Class 0,2082,3187,0.182,23.0%
1,rect,12,Class 1,149,4332,0.025,37.6%
1,rect,12,Class 2,12732,2669,0.295,17.8%
1,rect,12,Class 3,22,1906,0.005,22.7%
1,rect,12,Class 4,15,2906,0.000,0.0%
1,curved,3,Class 0,1624,3056,0.188,27.1%
1,curved,3,Class 1,80,4141,0.018,48.8%
1,curved,3,Class 2,13285,2942,0.331,20.2%
1,curved,3,Class 3,10,2096,0.002,20.0%
1,curved,3,Class 4,1,2765,0.000,0.0%
1,curved,15,Class 0,2038,3082,0.173,21.7%
1,curved,15,Class 1,57,4386,0.007,28.1%
1,curved,15,Class 2,12889,3003,0.326,20.1%
1,curved,15,Class 3,13,1847,0.004,30.8%
1,curved,15,Class 4,3,2682,0.001,33.3%
1,curved,6,Class 0,2537,3211,0.214,24.2%
1,curved,6,Class 1,152,4472,0.021,31.6%
1,curved,6,Class 2,12265,2909,0.319,19.8%
1,curved,6,Class 3,30,1937,0.002,6.7%
1,curved,6,Class 4,16,2471,0.003,25.0%
1,curved,8,Class 0,1584,3162,0.157,23.5%
1,curved,8,Class 1,126,4294,0.017,30.2%
1,curved,8,Class 2,13245,2970,0.326,19.9%
1,curved,8,Class 3,33,1864,0.005,15.2%
1,curved,8,Class 4,12,2710,0.001,8.3%
1,curved,9,Class 0,3689,3534,0.267,26.2%
1,curved,9,Class 1,180,4457,0.031,40.6%
1,curved,9,Class 2,11109,2967,0.335,21.2%
1,curved,9,Class 3,13,1741,0.002,15.4%
1,curved,9,Class 4,9,2301,0.000,0.0%
1,rect,14,Class 0,2270,2653,0.192,20.8%
1,rect,14,Class 1,180,3977,0.025,29.4%
1,rect,14,Class 2,10511,2552,0.306,19.0%
1,rect,14,Class 3,30,1588,0.005,13.3%
1,rect,14,Class 4,9,2230,0.001,11.1%
1,rect,9,Class 0,2635,3075,0.231,25.0%
1,rect,9,Class 1,191,4493,0.046,56.5%
1,rect,9,Class 2,12135,2934,0.341,21.1%
1,rect,9,Class 3,29,2012,0.001,3.4%
1,rect,9,Class 4,10,2486,0.000,0.0%
1,rect,5,Class 0,2156,3180,0.193,23.8%
1,rect,5,Class 1,130,4313,0.033,56.9%
1,rect,5,Class 2,12686,3195,0.361,22.6%
1,rect,5,Class 3,26,1959,0.002,7.7%
1,rect,5,Class 4,2,2353,0.000,0.0%
1,curved,5,Class 0,3128,3252,0.265,27.0%
1,curved,5,Class 1,62,4343,0.015,54.8%
1,curved,5,Class 2,11801,3119,0.361,22.8%
1,curved,5,Class 3,6,1948,0.000,0.0%
1,curved,5,Class 4,3,2338,0.000,0.0%
2,rect,13,Class 0,1660,3457,0.184,28.4%
2,rect,13,Class 1,241,4293,0.047,44.0%
2,rect,13,Class 2,13015,3113,0.353,21.9%
2,rect,13,Class 3,67,1974,0.001,1.5%
2,rect,13,Class 4,17,2163,0.000,0.0%
2,curved,14,Class 0,1306,3632,0.148,27.9%
2,curved,14,Class 1,110,4393,0.026,53.6%
2,curved,14,Class 2,13553,2930,0.336,20.4%
2,curved,14,Class 3,25,1845,0.003,12.0%
2,curved,14,Class 4,6,2200,0.000,0.0%
2,rect,6,Class 0,1679,3566,0.208,32.5%
2,rect,6,Class 1,118,4267,0.029,54.2%
