x,y,z,EEGScore,NormalizedEEGScore
-0.2669,-0.015,-0.1187,0.0,0.0
-0.2165,0.1067,-0.479,0.0,0.0
0.66,-0.1342,-0.4002,0.0,0.0
-0.1644,0.205,-0.1156,3.0,-0.8723404255319149
0.3239,-0.015,-0.2205,0.0,0.0
-0.2623,0.005,-0.2842,0.0,0.0
-0.1779,-0.005,0.6512,0.0,0.0
0.51,-0.013,-0.1487,18.0,-0.23404255319148937
-0.0538,0.005,-0.585,1.0,-0.9574468085106383
-0.6587,-0.089,-0.3432,0.0,0.0
-0.2601,0.005,-0.3585,0.0,0.0
-0.014,-0.015,-0.0517,2.0,-0.9148936170212766
0.0153,-0.005,-0.0875,0.0,0.0
-0.3328,-0.015,-0.2228,0.0,0.0
-0.4629,-0.015,0.346,1.0,-0.9574468085106383
-0.3013,-0.005,-0.2682,0.0,0.0
0.0973,-0.015,-0.3378,0.0,0.0
0.1813,0.0087,-0.4609,6.0,-0.7446808510638299
-0.1762,0.0888,-0.479,0.0,0.0
0.1663,0.205,-0.7219,0.0,0.0
0.1555,0.005,-0.0846,0.0,0.0
0.0648,-0.015,-0.0211,1.0,-0.9574468085106383
0.1181,0.205,-0.2117,0.0,0.0
-0.0185,0.005,-0.6415,0.0,0.0
0.2282,-0.005,-0.1511,4.0,-0.8297872340425532
-0.0591,0.205,-0.343,0.0,0.0
-0.0577,0.005,0.1106,0.0,0.0
-0.5444,0.005,-0.2848,0.0,0.0
-0.2087,0.1807,-0.1106,0.0,0.0
-0.6587,-0.2066,0.5033,0.0,0.0
-0.1726,0.215,0.1374,0.0,0.0
-0.3582,-0.015,0.3148,0.0,0.0
0.028,0.005,0.2917,2.0,-0.9148936170212766
-0.1918,-0.005,-0.3952,0.0,0.0
-0.1254,-0.005,-0.1705,0.0,0.0
-0.1187,0.005,-0.1375,0.0,0.0
-0.6587,-0.1455,0.5645,0.0,0.0
-0.131,-0.015,-0.3698,0.0,0.0
0.0125,0.005,-0.557,5.0,-0.7872340425531915
-0.0601,0.205,-0.2288,2.0,-0.9148936170212766
0.0105,0.005,-0.6742,0.0,0.0
0.1611,0.005,-0.4644,5.0,-0.7872340425531915
-0.6587,-0.1372,-0.2218,0.0,0.0
-0.3819,0.205,-0.2272,0.0,0.0
-0.6587,-0.097,0.0928,0.0,0.0
-0.2175,0.205,-0.3606,0.0,0.0
0.0572,-0.0763,-0.0769,0.0,0.0
-0.1663,-0.005,-0.408,0.0,0.0
0.0247,-0.005,0.1538,0.0,0.0
0.1813,0.0816,-0.2777,2.0,-0.9148936170212766
-0.1783,0.0463,0.3044,3.0,-0.8723404255319149
-0.6485,-0.015,-0.4056,0.0,0.0
-0.2616,-0.015,-0.2759,1.0,-0.9574468085106383
0.1551,0.215,-0.0243,1.0,-0.9574468085106383
0.66,-0.0487,-0.0637,6.0,-0.7446808510638299
-0.5568,-0.005,0.605,0.0,0.0
0.1464,0.005,-0.4817,7.0,-0.7021276595744681
0.5498,-0.005,-0.3804,3.0,-0.8723404255319149
0.6521,-0.1795,0.021,2.0,-0.9148936170212766
0.123,0.205,-0.5467,0.0,0.0
-0.144,0.205,0.273,0.0,0.0
0.1803,0.215,-0.0162,1.0,-0.9574468085106383
-0.3155,-0.0131,0.7315,0.0,0.0
0.0698,-0.015,-0.0824,3.0,-0.8723404255319149
-0.319,-0.005,-0.1829,0.0,0.0
-0.4852,0.005,-0.2716,0.0,0.0
-0.1662,-0.005,0.04,0.0,0.0
-0.477,-0.015,0.2063,0.0,0.0
-0.0444,-0.005,0.1286,0.0,0.0
-0.4885,0.0663,-0.479,0.0,0.0
-0.6487,-0.0445,0.6859,2.0,-0.9148936170212766
-0.1866,-0.005,-0.4715,0.0,0.0
-0.4775,-0.005,0.5396,2.0,-0.9148936170212766
-0.5862,-0.015,0.2538,0.0,0.0
-0.0557,-0.005,0.0339,0.0,0.0
-0.1394,0.1322,0.2944,0.0,0.0
0.031,-0.005,-0.103,0.0,0.0
-0.3001,-0.015,-0.1933,0.0,0.0
0.1174,-0.005,-0.0183,0.0,0.0
0.0175,0.205,-0.2929,1.0,-0.9574468085106383
-0.6587,-0.1877,-0.4537,0.0,0.0
0.1552,0.215,-0.0504,1.0,-0.9574468085106383
0.2866,-0.1293,-0.479,0.0,0.0
-0.3451,-0.005,0.1691,2.0,-0.9148936170212766
-0.0768,0.005,0.1693,2.0,-0.9148936170212766
-0.1846,-0.005,0.5947,0.0,0.0
-0.0156,-0.005,0.1217,0.0,0.0
-0.3,-0.0761,-0.479,0.0,0.0
-0.5231,0.005,-0.1541,0.0,0.0
0.1196,0.005,-0.0276,0.0,0.0
0.2737,-0.005,-0.1353,1.0,-0.9574468085106383
-0.1747,-0.005,0.2917,1.0,-0.9574468085106383
-0.6587,-0.1019,-0.3912,0.0,0.0
0.1256,0.005,0.0016,0.0,0.0
0.1813,0.0498,-0.2601,0.0,0.0
-0.6072,-0.015,0.5507,0.0,0.0
-0.1245,-0.015,-0.0563,0.0,0.0
-0.601,-0.005,0.3073,9.0,-0.6170212765957447
-0.2087,0.0377,-0.0375,0.0,0.0
-0.4542,-0.005,-0.4093,0.0,0.0
-0.5941,-0.015,0.5645,0.0,0.0
-0.3823,-0.005,0.3323,0.0,0.0
0.1455,0.005,0.0007,1.0,-0.9574468085106383
-0.1271,-0.1917,-0.0756,1.0,-0.9574468085106383
-0.4958,-0.005,0.109,0.0,0.0
-0.1876,-0.015,-0.2456,0.0,0.0
-0.3168,-0.005,-0.3957,0.0,0.0
-0.6224,-0.015,-0.3952,0.0,0.0
-0.2015,0.205,0.2206,0.0,0.0
-0.5837,-0.005,0.0525,0.0,0.0
-0.6587,0.2132,-0.3405,0.0,0.0
-0.0626,0.005,-0.0479,0.0,0.0
-0.4686,-0.005,0.5591,3.0,-0.8723404255319149
-0.2087,0.2075,-0.3847,0.0,0.0
0.1813,0.1104,0.0301,2.0,-0.9148936170212766
-0.1769,-0.015,-0.2992,0.0,0.0
